,12086,36119
2020-08-26,1125.3802144439342,33.92942668757609
2020-08-27,1047.1784252771893,32.228363340477244
2020-08-28,998.297271050971,31.847427955940315
2020-08-29,880.5323250554447,31.707538360386295
2020-08-30,865.63130706059,35.09251036850446
2020-08-31,871.9264847211456,33.63401833599191
2020-09-01,855.8889299269009,30.953445103399197
2020-09-02,807.5945441009318,34.28454247031556
2020-09-03,742.9550840680364,38.0547724608473
2020-09-04,670.3464806401455,38.9209467019482
2020-09-05,624.1646349867118,40.44433961725338
2020-09-06,585.1817209291565,44.43851493819978
2020-09-07,531.5735539567584,47.21421720838443
2020-09-08,734.4511821840804,48.17600726586687
2020-09-09,667.7408058412489,47.96468100125066
2020-09-10,664.4228773516229,50.1945362203574
2020-09-11,629.5647421275339,50.47103454939889
2020-09-12,620.150216114699,52.72071580762577
2020-09-13,600.0588836263631,50.55817817339609
2020-09-14,,
2020-09-15,,
2020-09-16,,
2020-09-17,320.39212334600484,46.231651965786774
2020-09-18,318.75498527490913,45.231607461608434
2020-09-19,313.5169731067312,40.366329211396874
2020-09-20,306.1518140003235,40.154054106951946
2020-09-21,304.5197385732877,39.37727386005262
2020-09-22,303.89506252070515,37.29630462909453
2020-09-23,324.70782469664323,35.072473980052266
2020-09-24,333.839129025839,32.5741641746402
2020-09-25,300.7515645159729,30.611077842727873
2020-09-26,329.75494740601204,31.81248732379144
2020-09-27,343.2579647455813,30.816877550345147
2020-09-28,350.5931016377717,28.84274057409245
2020-09-29,351.63126368540685,29.120778655658032
2020-09-30,321.6418443369741,30.51757987147907
2020-10-01,312.3914205470486,32.15294522643853
2020-10-02,295.0861598754414,33.80481617240171
2020-10-03,261.0735194751882,35.03500332825734
2020-10-04,231.9784015953848,35.77190952676155
2020-10-05,179.87865818784934,37.526585546758334
2020-10-06,211.9973732295877,40.994452562731304
2020-10-07,179.14115065023375,44.39631972215312
2020-10-08,163.61683517468614,47.27639443929818
2020-10-09,165.82811170820955,46.72187171774101
2020-10-10,162.08965269543882,53.06672923758066
2020-10-11,151.6185407869802,52.90218527818911
2020-10-12,185.61031554455124,55.10200570918291
2020-10-13,162.35233543452793,56.339352751357744
2020-10-14,164.64158872282354,58.27221483042018
2020-10-15,157.74258049095334,59.20107410074194
2020-10-16,165.6217500538477,63.63007774450698
2020-10-17,101.12538292549927,63.98639150202235
2020-10-18,204.97663941258372,66.18862583382094
2020-10-19,240.59345543001913,74.2918331189482
2020-10-20,234.28285791572196,77.44739224560979
2020-10-21,262.26028328489366,76.89289691694346
2020-10-22,285.23136201818346,80.97746147229829
2020-10-23,324.0974097443773,81.6908845264876
2020-10-24,427.97909557044284,88.16519529968983
2020-10-25,357.67126582378984,91.63719591755756
2020-10-26,396.99614241262583,87.84990988974589
2020-10-27,425.8046844647435,88.48186781303394
2020-10-28,436.2472096056455,92.46344290254973
2020-10-29,506.29774183827686,95.91309475915651
2020-10-30,514.9202011236717,95.1548162702018
