date,S,E,I1,I2,R,beta_pred
2020-04-09,17016582.37651713,281122.0922163928,160795.3831706092,144418.10638439492,2187440.212323882,0.5456558783209084
2020-04-10,16958021.051829387,268214.7157365953,153658.7488145183,138542.64913169778,2271921.2248286754,0.5408102883447523
2020-04-11,16902142.363691807,255919.3545834348,146742.8231357534,132697.3486181512,2352856.785268183,0.536348945138239
2020-04-12,16848769.15016816,244247.77006746613,140090.99386339824,126952.50332367589,2430298.585280504,0.5322903391409564
2020-04-13,16797746.937185343,233189.67201765534,133728.8915983917,121360.74275902096,2504333.109788945,0.5286476569607523
2020-04-14,16748943.416676342,222718.20385954913,127667.51777428164,115958.9237522171,2575071.6494249925,0.5254149114882753
2020-04-15,16702247.40540169,212794.61757466506,121906.18100445214,110770.25867750791,2642641.6019528536,0.5232625039327048
2020-04-16,16657567.100778468,203372.4983781647,116435.18192321557,105806.50099318541,2707179.1212275773,0.5213822837847817
2020-04-17,16614827.682687085,194401.58153101505,111238.27358386836,101070.08794976854,2768823.0951859243,0.51901249530302
2020-04-18,16573968.511334684,185831.04868531658,106294.87677619407,96556.18255401302,2827710.394087478,0.5168430365312539
2020-04-19,16534939.91458191,177612.42826850445,101582.0549740367,92254.57627620254,2883972.3048908594,0.5148289457635274
2020-04-20,16497699.798744414,169701.97818652992,97076.25396148917,88151.4327860919,2937732.0540487804,0.5129552558344103
2020-04-21,16462210.533507554,162062.27459696145,92754.7590513859,84230.85298172108,2989103.3111316026,0.5112378440745928
2020-04-22,16428436.2505708,154663.08198762184,88596.81290901465,80476.2274177624,3038189.5494793337,0.510430578982432
2020-04-23,16396340.581576167,147481.63694848798,84584.40425321751,76871.34955398865,3085084.1221515886,0.5097813410146266
2020-04-24,16365884.871669335,140502.45732696427,80702.74139457081,73401.27779694228,3129870.903308285,0.5085627499350931
2020-04-25,16337026.664925678,133716.9670402761,76940.46915003276,70052.9519546854,3172625.3443909045,0.5075184889526547
2020-04-26,16309718.435957195,127122.99181850835,73289.70704976401,66815.59386053035,3213415.807732126,0.5066176321228081
2020-04-27,16283906.655506535,120724.0858955261,69745.94115075184,63680.92662996798,3252305.0630320264,0.5058375020008196
2020-04-28,16259531.144038612,114528.77091897845,66307.80028093388,60643.242429029364,3289351.850738262,0.5051519188081287
2020-04-29,16236524.805303087,108549.61372139823,62976.74689274899,57699.34812672016,3324612.4340632805,0.5052720378148308
2020-04-30,16214813.894935863,102802.04517370125,59756.670001370556,54848.406884767515,3358142.076849468,0.5053634882912288
2020-05-01,16194318.849490508,97302.96192016697,56653.36613825082,52091.68047437247,3389996.3893924523,0.5046019024786772
